month,pnl
2018-01,-167.24
2018-02,9.95
2018-03,-267.26
2018-04,-532.38
2018-05,-106.19
2018-06,272.55
2018-07,136.36
2018-08,34.46
2018-09,148.1
2018-10,231.7
2018-11,-174.49
2018-12,-114.44
2019-01,-358.36
2019-02,108.01
2019-03,-209.28
2019-04,-220.72
2019-05,-133.87
2019-06,168.8
2019-07,-116.88
2019-08,136.36
2019-09,-296.2
2019-10,-99.28
2019-11,-108.68
2019-12,-227.79
2020-01,111.74
2020-02,-581.12
2020-03,-668.76
2020-04,-255.26
2020-05,-228.57
2020-06,202.35
2020-07,-55.99
2020-08,-260.01
2020-09,150.14
2020-10,264.75
2020-11,-213.05
2020-12,115.86
2021-01,-27.14
2021-02,-603.83
2021-03,-668.73
2021-04,98.69
2021-05,440.23
2021-06,22.09
2021-07,7.11
2021-08,234.57
2021-09,-192.08
2021-10,-545.11
2021-11,555.11
2021-12,-256.83
2022-01,-58.41
2022-02,227.44
2022-03,-1009.44
2022-04,155.3
2022-05,197.43
2022-06,171.43
2022-07,-197.12
2022-08,18.72
2022-09,42.89
2022-10,-29.38
2022-11,-107.31
2022-12,100.25
2023-01,-208.54
2023-02,581.63
2023-03,278.74
2023-04,-332.26
2023-05,-95.65
2023-06,311.32
2023-07,-540.76
2023-08,-578.78
2023-09,26.79
2023-10,-108.92
2023-11,393.47
2023-12,85.28
2024-01,161.0
2024-02,129.88
2024-03,-120.63
2024-04,568.05
2024-05,-212.54
2024-06,-648.39
2024-07,-512.32
2024-08,170.68
2024-09,95.8
2024-10,-384.3
2024-11,292.22
2024-12,-202.75
2025-01,-122.1
2025-02,220.45
2025-03,142.68
2025-04,665.07
2025-05,419.56
2025-06,-91.36
2025-07,144.87
2025-08,32.44
2025-09,229.44
2025-10,155.84
2025-11,-176.68
2025-12,-135.91
2026-01,243.23
2026-02,-197.38
2026-03,89.11
2026-04,213.26
2026-05,-695.13
2026-06,-460.0
