field,pct,value,in_net,in_pf,in_maxdd,oos_net,oos_pf,oos_maxdd
BASE,0.0,,18511.0,2.4,-778.7,18792.1,1.669,-1532.2
cap_mult,-0.2,3.2,18511.0,2.4,-778.7,18792.1,1.669,-1532.2
cap_mult,-0.1,3.6,18511.0,2.4,-778.7,18792.1,1.669,-1532.2
cap_mult,0.1,4.4,18511.0,2.4,-778.7,18792.1,1.669,-1532.2
cap_mult,0.2,4.8,18511.0,2.4,-778.7,18792.1,1.669,-1532.2
sl_mult,-0.2,9.600000000000001,18460.2,2.4,-778.7,19071.4,1.688,-1532.2
sl_mult,-0.1,10.8,18353.2,2.38,-778.7,19004.2,1.682,-1532.2
sl_mult,0.1,13.200000000000001,18451.6,2.389,-778.7,19093.2,1.685,-1532.2
sl_mult,0.2,14.399999999999999,18414.5,2.383,-778.7,19011.3,1.68,-1532.2
tp_mult,-0.2,4.0,17509.0,2.326,-813.3,18691.0,1.673,-1593.2
tp_mult,-0.1,4.5,17727.3,2.341,-787.3,18506.4,1.659,-1568.0
tp_mult,0.1,5.5,18420.7,2.392,-778.7,19632.5,1.699,-1508.6
tp_mult,0.2,6.0,17014.8,2.274,-1097.9,19944.5,1.71,-1485.0
cap_ceiling,-0.2,240.0,15627.8,2.124,-919.5,18160.8,1.659,-1307.7
cap_ceiling,-0.1,270.0,17737.7,2.32,-794.5,18432.9,1.66,-1421.5
cap_ceiling,0.1,330.0,18097.3,2.404,-782.7,20361.6,1.73,-1324.6
cap_ceiling,0.2,360.0,18626.6,2.463,-717.4,18104.2,1.637,-1734.8
be_bars,-0.2,120.0,15950.8,2.184,-810.6,16221.3,1.587,-1910.5
be_bars,-0.1,135.0,15431.3,2.11,-810.6,16128.8,1.553,-1667.5
be_bars,0.1,165.0,17615.2,2.318,-778.7,17814.1,1.604,-1395.4
be_bars,0.2,180.0,18563.7,2.376,-922.6,18378.0,1.622,-1667.5
