sl_pts,n,net,pf,twr_pct,tp,sl,be,cutoff,avg_win,avg_loss,max_dd
75,2144,-2489.47,0.581,18.2,176,790,565,613,195.4,-75.0,-3701.45
80,2152,-2783.53,0.594,19.5,182,749,578,643,195.5,-80.0,-4328.34
85,2156,-3559.64,0.592,20.5,185,719,583,669,195.6,-85.0,-4995.13
90,2156,-3577.03,0.595,21.5,187,683,587,699,195.7,-90.0,-4934.49
95,2157,-4294.21,0.596,22.4,188,651,591,727,195.9,-95.0,-5675.64
100,2159,-4796.5,0.605,23.6,192,623,594,750,196.2,-100.0,-6287.44
105,2162,-5045.12,0.616,24.8,195,591,599,777,196.0,-105.0,-6443.14
110,2164,-4836.19,0.624,25.9,196,560,604,804,196.1,-110.0,-6232.03
115,2166,-4902.4,0.637,27.2,198,530,608,830,196.0,-115.0,-6266.52
120,2166,-5181.77,0.65,28.4,200,503,609,854,196.1,-120.0,-6241.5
125,2168,-4107.95,0.685,30.4,204,467,616,881,196.1,-125.0,-5876.06
