sess_date,year,touched_at,pnl,exit,exit_time,bars_held,hold_min,cum_pnl
2019-01-03,2019,2019-01-03 10:37:00-05:00,6.687958243557659,cutoff,2019-01-03 15:00:00-05:00,263,263.0,6.687958243557659
2019-01-07,2019,2019-01-06 19:03:00-05:00,-0.0,BE,2019-01-07 02:20:00-05:00,437,437.0,6.687958243557659
2019-01-07,2019,2019-01-06 19:03:00-05:00,-0.0,BE,2019-01-06 23:13:00-05:00,250,250.0,6.687958243557659
2019-01-07,2019,2019-01-06 19:03:00-05:00,-0.0,BE,2019-01-07 10:35:00-05:00,932,932.0,6.687958243557659
2019-01-07,2019,2019-01-06 19:19:00-05:00,47.18795824355766,TP,2019-01-07 05:02:00-05:00,583,583.0,53.87591648711532
2019-01-15,2019,2019-01-15 00:56:00-05:00,13.704769945700718,TP,2019-01-15 02:42:00-05:00,106,106.0,67.58068643281604
2019-01-15,2019,2019-01-15 10:00:00-05:00,-0.717113159174005,cutoff,2019-01-15 15:00:00-05:00,300,300.0,66.86357327364203
2019-01-25,2019,2019-01-25 10:44:00-05:00,7.371282286143469,cutoff,2019-01-25 15:00:00-05:00,256,256.0,74.2348555597855
2019-01-28,2019,2019-01-28 09:33:00-05:00,6.158995553429577,cutoff,2019-01-28 15:00:00-05:00,327,327.0,80.39385111321508
2019-01-31,2019,2019-01-30 22:17:00-05:00,-0.0,BE,2019-01-31 03:28:00-05:00,311,311.0,80.39385111321508
2019-02-01,2019,2019-02-01 10:22:00-05:00,33.061892363423794,cutoff,2019-02-01 15:00:00-05:00,278,278.0,113.45574347663887
2019-02-05,2019,2019-02-05 06:13:00-05:00,-0.0,BE,2019-02-05 09:16:00-05:00,183,183.0,113.45574347663887
2019-02-05,2019,2019-02-05 10:56:00-05:00,4.164484944339165,cutoff,2019-02-05 15:00:00-05:00,244,244.0,117.62022842097804
2019-02-07,2019,2019-02-07 09:41:00-05:00,-27.0,SL,2019-02-07 11:30:00-05:00,109,109.0,90.62022842097804
2019-02-11,2019,2019-02-11 03:56:00-05:00,-0.0,BE,2019-02-11 08:05:00-05:00,249,249.0,90.62022842097804
2019-02-12,2019,2019-02-12 10:58:00-05:00,-14.459959278892711,cutoff,2019-02-12 15:00:00-05:00,242,242.0,76.16026914208533
2019-02-13,2019,2019-02-12 19:12:00-05:00,-21.375,SL,2019-02-13 09:40:00-05:00,868,868.0,54.785269142085326
2019-02-14,2019,2019-02-14 09:46:00-05:00,19.689269088722995,cutoff,2019-02-14 15:00:00-05:00,314,314.0,74.47453823080832
2019-02-15,2019,2019-02-15 09:28:00-05:00,-3.0354251966000447,cutoff,2019-02-15 15:00:00-05:00,332,332.0,71.43911303420828
2019-02-21,2019,2019-02-20 22:20:00-05:00,-0.0,BE,2019-02-21 02:27:00-05:00,247,247.0,71.43911303420828
2019-02-21,2019,2019-02-20 22:38:00-05:00,55.55727714310615,cutoff,2019-02-21 15:00:00-05:00,982,982.0,126.99639017731442
2019-02-25,2019,2019-02-25 05:54:00-05:00,-12.375,SL,2019-02-25 09:39:00-05:00,225,225.0,114.62139017731442
2019-02-26,2019,2019-02-25 20:30:00-05:00,26.663381385626963,TP,2019-02-26 11:17:00-05:00,887,887.0,141.2847715629414
2019-03-07,2019,2019-03-07 02:24:00-05:00,9.601953785843762,TP,2019-03-07 07:13:00-05:00,289,289.0,150.88672534878515
2019-03-07,2019,2019-03-07 09:37:00-05:00,-36.0,SL,2019-03-07 10:20:00-05:00,43,43.0,114.88672534878515
2019-03-11,2019,2019-03-11 03:53:00-04:00,-0.0,BE,2019-03-11 07:38:00-04:00,225,225.0,114.88672534878515
2019-03-13,2019,2019-03-13 10:15:00-04:00,-10.898046214156238,cutoff,2019-03-13 15:00:00-04:00,285,285.0,103.98867913462891
2019-03-18,2019,2019-03-18 10:10:00-04:00,8.010315870963495,cutoff,2019-03-18 15:00:00-04:00,290,290.0,111.9989950055924
2019-03-25,2019,2019-03-24 20:37:00-04:00,-15.75,SL,2019-03-24 21:02:00-04:00,25,25.0,96.2489950055924
2019-03-29,2019,2019-03-29 09:30:00-04:00,-0.0,BE,2019-03-29 14:53:00-04:00,323,323.0,96.2489950055924
2019-04-01,2019,2019-03-31 20:07:00-04:00,-18.0,SL,2019-04-01 13:00:00-04:00,1013,1013.0,78.2489950055924
2019-04-03,2019,2019-04-02 20:47:00-04:00,-3.9375,SL,2019-04-02 20:57:00-04:00,10,10.0,74.3114950055924
2019-04-05,2019,2019-04-05 08:30:00-04:00,-7.1683477107399085,cutoff,2019-04-05 15:00:00-04:00,390,390.0,67.1431472948525
2019-04-12,2019,2019-04-12 04:33:00-04:00,-11.25,SL,2019-04-12 07:11:00-04:00,158,158.0,55.8931472948525
2019-04-16,2019,2019-04-16 01:26:00-04:00,-2.25,SL,2019-04-16 03:48:00-04:00,142,142.0,53.6431472948525
2019-04-18,2019,2019-04-18 03:51:00-04:00,35.62946031830779,TP,2019-04-18 08:31:00-04:00,280,280.0,89.27260761316029
2019-04-18,2019,2019-04-18 04:00:00-04:00,39.909792279047906,cutoff,2019-04-18 15:00:00-04:00,660,660.0,129.1823998922082
2019-04-18,2019,2019-04-18 04:00:00-04:00,39.13696056758636,cutoff,2019-04-18 15:00:00-04:00,660,660.0,168.31936045979455
2019-04-23,2019,2019-04-23 10:29:00-04:00,-15.1875,SL,2019-04-23 12:05:00-04:00,96,96.0,153.13186045979455
