sess_date,year,touched_at,pnl,exit,exit_time,bars_held,hold_min,cum_pnl
2019-01-07,2019,2019-01-06 19:03:00-05:00,-61.0,SL,2019-01-07 13:03:00-05:00,1080,1080.0,-61.0
2019-01-15,2019,2019-01-15 09:36:00-05:00,-37.204762729805225,cutoff,2019-01-15 15:00:00-05:00,324,324.0,-98.20476272980522
2019-01-16,2019,2019-01-16 09:33:00-05:00,-132.0,SL,2019-01-16 09:46:00-05:00,13,13.0,-230.20476272980522
2019-01-17,2019,2019-01-17 03:16:00-05:00,94.81203169863875,cutoff,2019-01-17 15:00:00-05:00,704,704.0,-135.39273103116648
2019-01-18,2019,2019-01-18 09:28:00-05:00,-0.0,BE,2019-01-18 10:43:00-05:00,75,75.0,-135.39273103116648
2019-01-25,2019,2019-01-25 10:02:00-05:00,-13.127232817691038,cutoff,2019-01-25 15:00:00-05:00,298,298.0,-148.51996384885751
2019-01-28,2019,2019-01-28 09:33:00-05:00,17.277878733804755,cutoff,2019-01-28 15:00:00-05:00,327,327.0,-131.24208511505276
2019-01-29,2019,2019-01-29 10:57:00-05:00,7.499645331417923,cutoff,2019-01-29 15:00:00-05:00,243,243.0,-123.74243978363484
2019-02-07,2019,2019-02-07 09:30:00-05:00,0.0,BE,2019-02-07 10:20:00-05:00,50,50.0,-123.74243978363484
2019-02-12,2019,2019-02-12 10:58:00-05:00,-5.3013951186203485,cutoff,2019-02-12 15:00:00-05:00,242,242.0,-129.04383490225518
2019-02-13,2019,2019-02-12 19:12:00-05:00,-0.0,BE,2019-02-12 20:01:00-05:00,49,49.0,-129.04383490225518
2019-02-13,2019,2019-02-13 01:18:00-05:00,10.274825242922816,cutoff,2019-02-13 15:00:00-05:00,822,822.0,-118.76900965933237
2019-02-14,2019,2019-02-14 09:31:00-05:00,54.73400087124446,cutoff,2019-02-14 15:00:00-05:00,329,329.0,-64.03500878808791
2019-02-15,2019,2019-02-15 09:28:00-05:00,-0.0,BE,2019-02-15 10:41:00-05:00,73,73.0,-64.03500878808791
2019-02-20,2019,2019-02-20 10:40:00-05:00,41.11036366720873,cutoff,2019-02-20 15:00:00-05:00,260,260.0,-22.924645120879177
2019-02-21,2019,2019-02-20 22:40:00-05:00,86.87643051873238,cutoff,2019-02-21 15:00:00-05:00,980,980.0,63.9517853978532
2019-02-21,2019,2019-02-20 22:40:00-05:00,87.78017365011328,cutoff,2019-02-21 15:00:00-05:00,980,980.0,151.73195904796648
2019-02-21,2019,2019-02-21 09:45:00-05:00,-2.998569481267623,cutoff,2019-02-21 15:00:00-05:00,315,315.0,148.73338956669886
2019-02-25,2019,2019-02-25 06:24:00-05:00,-0.0,BE,2019-02-25 07:54:00-05:00,90,90.0,148.73338956669886
2019-02-25,2019,2019-02-25 08:47:00-05:00,8.040488080103387,cutoff,2019-02-25 15:00:00-05:00,373,373.0,156.77387764680225
2019-02-26,2019,2019-02-25 20:28:00-05:00,155.84023576414256,cutoff,2019-02-26 15:00:00-05:00,1112,1112.0,312.6141134109448
2019-03-07,2019,2019-03-06 19:05:00-05:00,0.0,BE,2019-03-06 19:56:00-05:00,51,51.0,312.6141134109448
2019-03-07,2019,2019-03-07 02:04:00-05:00,-20.0,SL,2019-03-07 09:44:00-05:00,460,460.0,292.6141134109448
2019-03-08,2019,2019-03-08 08:30:00-05:00,109.66195232041355,cutoff,2019-03-08 15:00:00-05:00,390,390.0,402.27606573135836
2019-03-08,2019,2019-03-08 08:30:00-05:00,98.36770552558664,cutoff,2019-03-08 15:00:00-05:00,390,390.0,500.643771256945
2019-03-08,2019,2019-03-08 08:31:00-05:00,37.94689207841111,cutoff,2019-03-08 15:00:00-05:00,389,389.0,538.5906633353561
2019-03-08,2019,2019-03-08 09:00:00-05:00,0.0,BE,2019-03-08 10:01:00-05:00,61,61.0,538.5906633353561
